keyword;volume;cpc;comp;intent;kd
verona italy real estate;110;0.11;0.17;0;14
houses for sale verona italy;110;0.02;0.14;3;16
houses for sale in lecce italy;110;0.19;0.24;3;7
lecce italy real estate;70;0.19;0.21;0;10
ostuni italy real estate;40;0.07;0.23;0;7
siena italy real estate;110;0.16;0.44;0;19
real estate siena italy;70;0.09;0.45;0;13
property for sale in lucca italy;90;0.22;0.31;3;15
houses for sale in lucca italy;390;0.12;0.33;3;13
lucca italy real estate;320;0.17;0.33;0;21
apartments for sale in lucca italy;110;0.11;0.27;3;14
real estate lucca italy;70;0.14;0.32;0;18
perugia italy real estate;50;0.05;0.21;0;15
taormina italy real estate;110;0.02;0.17;0;14
catania italy real estate;70;0.03;0.13;0;12
cefalu italy real estate;110;0.02;0.11;0;10
houses for sale in orvieto italy;90;0.06;0.21;3;6
orvieto italy real estate;110;0.03;0.19;0;7
property for sale in lake como italy;170;0.23;0.32;3;17
houses for sale in lake como italy;170;0.12;0.24;3;23
lake como italy real estate;720;0.15;0.3;0;28
apartments for sale in lake como italy;40;0.24;0.18;3;12
lake como italy property for sale;50;0.23;0.32;3;22
real estate lake como italy;90;0.13;0.34;0;25
lake como property for sale;320;0.23;0.32;3;26
houses for sale lake como italy;480;0.2;0.28;3;24
lake garda italy real estate;170;0.14;0.27;0;18
lake garda property for sale;90;0.16;0.17;3;13
houses for sale lake garda italy;110;0.16;0.23;3;11
property for sale in amalfi coast italy;70;0.14;0.26;3;19
amalfi coast italy real estate;210;0.18;0.12;0;18
apartments for sale in amalfi coast italy;70;0.27;0.11;3;9
real estate amalfi coast italy;260;0.18;0.12;0;18
amalfi coast property for sale;110;0.14;0.26;3;19
houses for sale amalfi coast italy;50;0.18;0.15;3;16
property for sale in dolomites italy;40;0;0.05;3;9
real estate dolomites italy;40;0.17;0.07;0;13
houses for sale in ravello italy;70;0.23;0.11;3;17
ravello italy real estate;70;0;0.1;0;15
real estate ravello italy;40;0.05;0.33;;0
houses for sale ravello italy;50;0.23;0.11;3;8
property for sale in positano italy;50;0.24;0.17;3;10
houses for sale in positano italy;260;0.16;0.08;3;14
positano italy real estate;260;0.21;0.15;0;15
villas for sale in positano italy;40;0.24;0.17;3;12
positano property for sale;90;0.25;0.22;3;14
houses for sale positano italy;90;0.32;0.07;3;14
property for sale in sorrento italy;90;0.34;0.15;3;22
houses for sale in sorrento italy;480;0.48;0.28;3;17
sorrento italy real estate;140;0.49;0.16;0;16
apartments for sale in sorrento italy;70;0.21;0.1;3;17
real estate sorrento italy;50;0.49;0.16;0;14
sorrento property for sale;50;0.25;0.16;3;25
houses for sale sorrento italy;90;0.43;0.28;3;14
houses for sale in capri italy;170;0.22;0.21;3;16
capri italy real estate;210;0.27;0.3;0;17
real estate capri italy;40;0.17;0.24;0;6
houses for sale capri italy;40;0.17;0.25;3;14
lake maggiore italy real estate;40;0.22;0.44;0;3
real estate lake maggiore italy;50;0.2;0.55;0;3
property for sale in italy;1900;0.17;0.31;3;40
houses for sale in italy;4400;0.21;0.21;3;42
italy real estate;2400;0.16;0.28;0;43
villas for sale in italy;1000;0.17;0.28;3;32
apartments for sale in italy;590;0.29;0.15;3;22
italy property for sale;880;0.17;0.31;3;40
cheap houses for sale in italy;720;0.06;0.1;3;33
italian property for sale;880;0.17;0.31;3;40
italian real estate;1600;0.15;0.31;0;50
property in italy;480;0.41;0.24;0;50
homes for sale in italy;6600;0.21;0.21;3;43
real estate italy;1300;0.12;0.26;0;42
houses in italy for sale;1900;0.21;0.21;3;50
castle for sale italy;260;0.11;0.08;3;14
land for sale italy;590;0.18;0.31;3;15
vineyard for sale italy;390;0.12;0.2;3;9
cheap property italy;110;0.06;0.08;0;17
cheap houses in italy;880;0.07;0.05;1;24
apartment for sale italy;90;0.29;0.15;3;16
buying property in italy;720;0.35;0.28;3;33
buy property in italy;390;0.35;0.28;3;44
how to buy property in italy;210;0.38;0.2;1;23
can foreigners buy property in italy;140;1.65;0.09;1;18
buying property in italy as an american;110;0.36;0.1;1;4
buying a house in italy as an american;110;0.94;0.21;1;2
codice fiscale italy;320;4.67;0.04;1;33
one euro houses italy;480;0.02;0.06;1;46
1 euro houses italy;480;0.02;0.03;1;31
1 euro homes italy;90;0.24;0.03;1;27
property tax in italy;320;0.13;0.02;1;25
italy investor visa;260;0;0;1;21
italy golden visa;1300;1.57;0.51;1;29
italy elective residence visa;390;0.43;0.25;1;22
italy residency by investment;110;1.58;0.49;1;39
italy digital nomad visa;1000;1.31;0.13;1;20
italy citizenship by descent;1000;1.24;0.44;1;37
italy self employment visa;70;4.92;0.08;1;14
italy retirement visa;390;0.74;0.09;1;13
italy investor visa requirements;110;0;0;1;30
permesso di soggiorno;720;0;0.33;1;29
cost of living in italy;1900;0.36;0.01;1;24
retire in italy;390;0.52;0.08;1;19
living in italy as an expat;90;0.91;0.12;1;28
moving to italy from usa;1300;1.04;0.19;1;15
moving to italy from uk;50;0;0.03;1;13
international schools italy;140;2;0.04;0;39
healthcare in italy for foreigners;110;9.51;0.29;1;31
best places to live in italy;1000;0.53;0.03;0;26
best places to retire in italy;320;1.94;0.04;0;32
cost of living in tuscany;110;0.13;0.02;1;17
cost of living in rome;260;0.23;0.02;1;23
cost of living in milan;210;0;0.33;1;19
buy to let italy;40;0;0;1;9
italy property investment;20;0;0.09;;0
italy house prices;20;0.23;0.1;;0
italy property market;20;0.19;0.33;;0
idealista italy;14800;1.36;0.01;2;78
immobiliare.it;1900;0;0.33;2;53
tecnocasa;1300;0.44;0.01;2;53
gate away;320;0.52;0.05;2;41
gate-away italy;140;0.9;0.1;2;45
casa.it;390;0;0.33;2;69
italian estate;90;0;0.01;1;40
